% TABLE LEGEND
%  F1:  Maximum Fisher's discriminant ratio 
%  F1v: Directional-vector maximum Fisher's discriminant ratio 
%  F2:  Overlap of the per-class bounding boxes 
%  F3:  Maximum (individual) feature efficiency 
%  F4:  Collective feature efficiency (sum of each feature efficiency) 
%  L1:  Minimized sum of the error distance of a linear classifier (linear SMO) 
%  L2:  Training error of a linear classifier (linear SMO) 
%  L3:  Nonlinearity of a linear classifier (linear SMO) 
%  N1:  Fraction of points on the class boundary 
%  N2:  Ratio of average intra/inter class nearest neighbor distance 
%  N3:  Leave-one-out error rate of the one-nearest neighbor classifier 
%  N4:  Nonlinearity of the one-nearest neighbor classifier 
%  T1:  Fraction of maximum covering spheres 
%  T2:  Average number of points per dimension 

@relation combinador_ensemble

@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute AVERAGE_RULE {0,1}
@attribute PRODUCT_RULE {0,1}
@attribute MAJORITY_VOTING_RULE {0,1}
@attribute MIN_RULE {0,1}
@attribute MAX_RULE {0,1}

@data
6310.8571428571,15140.4285714286,142.8571428571,561,997.1428571429,439.2857142857,285.5714285714,428.4285714286,123.8571428571,148.7142857143,34.7142857143,157,1000,8200,0,1,0,1,0
3319.4285714286,13825.5714285714,142.8571428571,564.2857142857,987.4285714286,445.2857142857,285.8571428571,428.4285714286,121.8571428571,135.8571428571,37.7142857143,172.7142857143,1000,8200,0,1,0,0,0
4223.5714285714,15200.1428571429,142.8571428571,604.1428571429,997.1428571429,436.5714285714,285.7142857143,428.4285714286,115.7142857143,146.5714285714,34.8571428571,173.4285714286,997.8571428571,8200,0,1,0,1,0
354,200.3333333333,1000,0,0,622.6666666667,333.3333333333,500,124,215,50,193.3333333333,870.6666666667,156250,0,1,0,0,0
347.6666666667,179.6666666667,1000,0,0,621,333.3333333333,500,121,220.6666666667,41.3333333333,198.6666666667,846.6666666667,156250,0,1,0,0,0
333,176,1000,0,0,624.3333333333,333.3333333333,500,137.3333333333,227.3333333333,50,195.6666666667,879.3333333333,156250,0,1,0,0,0
383,163.3333333333,1000,0,0,624,333.6666666667,500,135,229.6666666667,51.3333333333,186,925.6666666667,156250,0,1,0,0,0
407.3333333333,191,1000,0,0,618,333.3333333333,500,115.6666666667,214.6666666667,34,180,884.3333333333,156250,0,1,0,0,0
302,184.6666666667,1000,0,0,635,333.6666666667,500,130.3333333333,245.6666666667,33,205,866,156250,0,0,0,1,0
328.6666666667,186.6666666667,1000,0,0,617.3333333333,228.3333333333,390,119.3333333333,194,39.3333333333,196,887.6666666667,156250,0,1,0,0,0
253.6666666667,162.3333333333,1000,0,0,634,333.3333333333,500,129.6666666667,231.6666666667,44.6666666667,198.6666666667,884,156250,0,1,0,0,0
293.6666666667,191.3333333333,1000,0,0,628,333.3333333333,500,138,235.3333333333,46,205.3333333333,882,156250,0,1,0,1,0
290.6666666667,171.3333333333,1000,0,0,627.3333333333,333,500,132.3333333333,238.3333333333,37.3333333333,197,880.6666666667,156250,0,0,0,1,0
1673,234,7,21,602,294,500,276,325,108,341,1000,31778,0,0,0,0,1,0
1180,250,17,35,549,301,500,318,340,126,381,1000,31778,0,0,0,0,1,0
1001,1000,0,0,482,241,500,290,375,154,374,1000,31778,0,0,0,0,1,0
853,469,35,42,634,311,500,276,310,126,367,1000,31778,0,0,1,0,0,0
786,448,119,161,583,294,500,287,360,126,318,1000,31778,0,0,0,0,1,0
1231,640,38,42,595,287,500,332,359,136,330,1000,31778,0,0,1,0,0,0
1117,420,52,77,561,297,500,283,288,122,301,1000,31778,0,0,1,0,0,0
900,640,35,38,712,353,500,318,348,147,348,1000,31778,0,0,0,0,1,0
654,175,154,171,539,269,500,262,308,105,350,1000,31778,0,0,1,0,0,0
1183,800,3,3,610,276,467,339,326,122,283,1000,31778,0,0,0,1,0,0
68,248,110,461,472,39,9,31,122,10,36,841,77667,0,0,0,0,1,0
71,138,611,944,450,31,5,37,109,17,30,848,77667,0,0,0,0,1,0
67,147,330,479,479,27,10,53,136,21,24,811,77667,0,0,1,0,0,0
66,189,149,273,506,30,11,44,129,24,39,956,77667,0,0,1,0,0,0
68,106,313,682,454,21,4,29,122,10,20,830,77667,0,0,1,0,0,0
67,145,109,232,460,41,14,50,131,16,52,837,77667,0,0,1,0,0,0
68,212,119,219,467,41,10,36,122,14,31,906,77667,0,0,0,0,1,0
67,217,116,236,464,31,15,46,144,21,36,877,77667,0,0,1,0,0,0
69,165,209,680,478,34,13,36,121,13,26,926,77667,0,0,1,0,0,0
64,124,545,840,501,41,16,34,120,14,26,827,77667,0,0,1,0,0,0
90,46,41,148,841,420,500,391,346,148,309,1000,57500,0,0,1,0,0,0
52,103,29,122,902,455,500,397,358,157,383,1000,57500,0,0,1,0,0,0
128,49,46,136,795,397,500,377,355,174,319,994,57500,0,0,1,0,0,0
134,84,61,128,852,426,500,348,344,148,294,1000,57500,0,0,1,0,0,0
159,94,32,110,731,365,500,348,325,133,280,1000,57500,0,0,1,0,0,0
123,91,32,104,835,417,500,388,405,142,343,1000,57500,0,0,1,0,0,0
190,103,58,133,906,455,500,400,347,157,328,1000,57500,0,0,1,0,0,0
99,102,35,107,817,409,500,357,388,148,320,1000,57500,0,0,1,0,0,0
165,172,32,113,873,438,500,394,367,142,296,997,57500,0,0,1,0,0,0
273,56,41,116,899,455,500,359,335,148,317,997,57500,0,0,1,0,0,0
22.75,1037,132,466.5,745,426.25,105.75,416,97.25,276,41.25,367,1000,288000,0,0,0,1,0
22,1770,132,473.5,746.75,439.75,104.25,411.5,103.5,284.5,37.25,354.5,1000,288000,0,0,0,1,0
17.75,1403.75,132,463.75,738.5,437,107.25,411.75,103.75,293.25,46,338,1000,288000,0,0,0,1,0
26.5,1467,132,460,735.5,414.25,112,420.25,96.75,289.75,41.5,320.25,1000,288000,0,0,0,1,0
26.25,1778.25,132,465.25,746,410.25,105.5,419.75,102,286.25,40.75,367.25,1000,288000,0,0,0,1,0
11.25,2519.75,132,462.25,735.75,410.75,111,418,108.75,285.25,47,326.25,1000,288000,0,0,0,1,0
14.75,2541,132,465.25,742.25,439.5,107.5,416.5,112.75,280.75,42,348,1000,288000,0,1,0,0,0
26.5,1988.25,132,462.5,729.75,442.5,109,406.5,109,294.5,41.75,317,1000,288000,0,1,0,0,0
19,2132.5,132,455.5,721,469.5,115.25,410,102.75,278.5,39.5,326.5,1000,288000,0,1,0,0,0
19,1715.5,132,466.5,733.75,442.25,111,415.25,104,279.75,41.75,354.5,1000,288000,0,1,0,0,0
61.3333333333,389.6666666667,755,25,26.6666666667,641,311,454.3333333333,335.6666666667,301.3333333333,148.6666666667,368.6666666667,940,163667,0,0,0,1,0
65,392.6666666667,666.3333333333,24,33.6666666667,660,315,467,334.6666666667,280.6666666667,134.6666666667,376,939,163667,0,0,0,1,0
54.6666666667,323.6666666667,939.3333333333,24,24.3333333333,650.3333333333,321,479.3333333333,349,296.3333333333,160,365,920.6666666667,163667,0,0,0,1,0
63.6666666667,425,763,22.3333333333,22.6666666667,647.6666666667,310,461.3333333333,348,270.3333333333,155.3333333333,369,956,163667,0,0,0,1,0
61,461.6666666667,732.3333333333,24.6666666667,33.3333333333,645.6666666667,309.3333333333,451.6666666667,330.6666666667,242.3333333333,139,387.6666666667,957,163667,0,0,0,1,0
43,363,679.3333333333,29,30.6666666667,643.3333333333,307.6666666667,450.6666666667,331.6666666667,232.6666666667,148.3333333333,381.6666666667,943.3333333333,163667,0,0,0,1,0
58.6666666667,460.6666666667,755.6666666667,22.893,30.5596666667,648,314.6666666667,461.3333333333,350.6666666667,272,161,380,944,163667,0,0,0,1,0
51,360.6666666667,843.3333333333,32.6666666667,34,659.6666666667,327.3333333333,494,357,243.6666666667,164,373.6666666667,941.6666666667,163667,0,0,0,1,0
51,297.3333333333,653.6666666667,49.6666666667,55.3333333333,661,327,489,352.6666666667,275,157.3333333333,382.3333333333,935.6666666667,163667,0,0,0,1,0
70.5,516,666.5,38,57,540,270,500,329,242,152.5,375,957.5,163667,0,0,0,1,0
13599,12,38,157,232,116,116,196,248,93,104,1000,46000,0,0,1,0,0,0
10387,1,43,100,288,143,149,191,226,67,104,1000,46000,0,0,1,0,0,0
5388,1,35,191,314,157,142,194,238,65,119,993,46000,0,0,0,0,1,0
22620,2,36,91,258,129,114,190,217,58,109,1000,46000,0,0,0,0,1,0
10670,8,25,62,250,125,105,171,239,55,93,997,46000,0,0,0,0,1,0
12022,2,28,71,270,135,112,170,212,64,99,994,46000,0,0,0,0,1,0
4256,1,30,97,267,133,135,194,256,70,107,996,46000,0,0,0,0,1,0
9872,4,46,94,321,158,142,170,232,62,106,997,46000,0,0,0,0,1,0
6592,1,32,91,293,145,136,187,251,70,107,996,46000,0,0,1,0,0,0
9904,3,32,81,250,125,122,167,211,54,88,996,46000,0,0,0,0,1,0
913.3333333333,167826.666666667,0,532,794.6666666667,329.5,32.8333333333,92,30.3333333333,249,9,12.1666666667,996,10765,0,0,0,1,0
754,158944.333333333,0,623.8333333333,861.1666666667,312.1666666667,37.8333333333,129.1666666667,30.3333333333,213.5,8,8.5,998.1666666667,10765,0,1,0,1,0
715.8333333333,149298.833333333,0,697.1666666667,985,331,26.3333333333,80.1666666667,22.6666666667,240,2.8333333333,6.6666666667,995.8333333333,10765,0,1,0,0,0
862.8333333333,146812,0,676.8333333333,937.5,331.6666666667,31.8333333333,115.5,27.6666666667,244.5,9.1666666667,9.6666666667,998.1666666667,10765,0,0,0,1,0
780.8333333333,153029.833333333,0,756,975.8333333333,336.3333333333,29.1666666667,85.3333333333,24.6666666667,232,8.3333333333,5.6666666667,998.1666666667,10765,0,1,0,0,0
708,139799,0,693,956.8333333333,336.3333333333,32.3333333333,112.5,32.6666666667,241.6666666667,7.3333333333,11.6666666667,996.3333333333,10765,0,0,0,1,0
777.5,200844.666666667,0,711,990.6666666667,331.6666666667,33.5,119.5,26,254.1666666667,7.1666666667,8,1000,10765,0,0,0,1,0
841.1666666667,138460.666666667,0,689,968.6666666667,309,27.6666666667,104.3333333333,32.3333333333,268.3333333333,10,9.8333333333,999.5,10765,0,1,0,1,0
718.1666666667,128599.166666667,0,694.6666666667,998.1666666667,332,36,131.6666666667,23.5,263.5,4.3333333333,5.5,998.6666666667,10765,0,1,0,1,0
869.5,160127.666666667,0,709,956.3333333333,307.1666666667,38.1666666667,132.3333333333,26.3333333333,290.3333333333,11,10.8333333333,991,10765,0,1,0,0,0
1808.3333333333,47.6666666667,0,739,967,665.3333333333,333.3333333333,500,67,298.6666666667,11.3333333333,0,1000,100,0,1,0,0,0
2338.3333333333,98.3333333333,0,633.6666666667,966.6666666667,665.3333333333,333,500,61.3333333333,426.6666666667,33.3333333333,0,1000,100,0,1,0,0,0
1600.6666666667,42,0,639,966.6666666667,665.6666666667,333.3333333333,500,55.3333333333,330.6666666667,0,0,1000,100,0,1,0,0,0
2153.6666666667,60.6666666667,0,667,967,665.6666666667,333.3333333333,500,50,410,0,0,1000,100,0,0,0,1,0
2083.3333333333,68.3333333333,0,644.6666666667,961.3333333333,665.6666666667,333.6666666667,500,50,426,11.3333333333,0,1000,100,0,1,0,0,0
2198.6666666667,55.6666666667,0,677.6666666667,972.3333333333,665.6666666667,333.3333333333,500,66.6666666667,366,0,0,1000,100,0,0,0,1,0
2258,66,0,639,955.6666666667,665.6666666667,333.3333333333,500,44.3333333333,347,11.3333333333,0,1000,100,0,1,0,0,0
2542.6666666667,107.6666666667,0,683.3333333333,950.3333333333,665.3333333333,333.3333333333,500,66.6666666667,427.3333333333,11.3333333333,0,1000,100,0,1,0,0,0
2249,67.3333333333,0,655.3333333333,950.3333333333,665.3333333333,333.3333333333,500,38.6666666667,349.6666666667,0,0,1000,100,0,1,0,1,0
3463.6666666667,64.6666666667,0,777.6666666667,967,665.3333333333,333,500,72,234.3333333333,11.3333333333,0,1000,100,0,1,0,1,0
1881,753,14,25,705,248,444,279,336,105,216,1000,50000,0,0,0,0,1,0
1644,645,20,31,724,261,419,306,326,109,220,1000,50000,0,0,1,0,1,0
1244,459,12,22,686,294,497,288,324,106,232,1000,50000,0,0,0,0,1,0
1846,654,26,31,688,299,498,302,318,115,201,1000,50000,0,0,0,0,1,0
1510,767,13,23,698,306,498,295,339,111,229,1000,50000,0,0,0,0,1,0
1467,591,16,30,692,310,500,270,317,93,228,1000,50000,0,0,0,0,1,0
1648,925,19,29,699,281,486,302,323,111,216,1000,50000,0,0,0,0,1,0
1494,662,17,26,691,284,460,284,315,108,206,1000,50000,0,0,0,0,1,0
1367,793,9,17,635,278,500,294,352,123,236,1000,50000,0,0,0,0,1,0
2596,424,15,35,634,273,500,301,338,131,210,1000,50000,0,0,1,0,0,0
2430,8816.5714285714,144.7188017143,587.4285714286,845,429.7142857143,285.8571428571,428.4285714286,100,97.8571428571,27.8571428571,197.1428571429,874.5714285714,23778,0,1,0,0,0
2897.4285714286,15047,143.0628714286,636.8571428571,867.8571428571,427.1428571429,285.5714285714,428.4285714286,88.7142857143,113.2857142857,26.7142857143,148,886.5714285714,23778,0,1,0,0,0
2992.5714285714,10757,142.9827884286,624.8571428571,899.2857142857,429.7142857143,285.7142857143,428.4285714286,93.4285714286,81.4285714286,29.2857142857,180,851.7142857143,23778,0,0,0,1,0
2859.4285714286,17183.5714285714,143.3895428571,639,833.7142857143,429.1428571429,285.5714285714,428.4285714286,92.1428571429,130.2857142857,44,159.4285714286,833.8571428571,23778,0,0,0,1,0
2976.4285714286,13900.7142857143,142.972219,591.4285714286,837.1428571429,428.8571428571,285.8571428571,428.4285714286,105.4285714286,125,36,175.7142857143,853.1428571429,23778,0,0,0,1,0
3518,11135.5714285714,143.3495971429,590.8571428571,832.5714285714,429.2857142857,285.7142857143,428.4285714286,105.4285714286,128.5714285714,30.7142857143,190.8571428571,887.8571428571,23778,0,1,0,0,0
2343.1428571429,8320.8571428571,144.7174115714,584.1428571429,817.8571428571,429.4285714286,285.4285714286,428.4285714286,111.2857142857,105,32,199.4285714286,896.4285714286,23778,0,1,0,0,0
3041.5714285714,12021.5714285714,145.7148485714,608.8571428571,869.7142857143,429.2857142857,285.7142857143,428.4285714286,101.5714285714,130.1428571429,34.7142857143,171.5714285714,896.5714285714,23778,0,1,0,0,0
2448,8954.2857142857,144.7181905714,598.1428571429,869.2857142857,429.1428571429,285.7142857143,428.4285714286,118.7142857143,114.8571428571,38.7142857143,160.7142857143,885.2857142857,23778,0,0,0,1,0
2268.4285714286,9857.2857142857,143.1569857143,593.4285714286,802.4285714286,428.8571428571,285.7142857143,428.4285714286,114.1428571429,115.8571428571,41.2857142857,195.5714285714,869.2857142857,23778,0,1,0,0,0
3,617,23,26,425,212,500,245,155,114,373,876,102000,0,0,1,0,0,0
25,718,26,33,556,278,500,301,199,111,394,850,102000,0,0,1,0,0,0
6,792,29,39,628,314,500,343,207,131,408,889,102000,0,0,0,0,1,0
20,437,20,26,556,278,500,327,268,147,395,856,102000,0,0,0,0,1,0
7,387,39,49,477,239,500,340,240,147,386,863,102000,0,0,1,0,0,0
5,663,36,42,549,275,500,386,280,180,404,902,102000,0,0,1,0,0,0
12,444,16,23,568,284,500,337,251,150,319,918,102000,0,0,0,0,1,0
4,718,29,33,654,327,500,327,224,105,359,912,102000,0,0,1,0,0,0
8,651,33,42,672,340,500,294,213,114,338,895,102000,0,0,1,0,0,0
9,457,42,52,548,275,500,291,196,111,299,856,102000,0,0,0,0,1,0
577.75,157.75,472,315.25,597,748.75,500,374.75,211,108.5,94,193.5,929.5,40000,0,1,0,0,0
600.75,149.5,472,334,615.5,750,500,374.75,219,139,93.75,174.75,937.5,40000,0,1,0,0,0
537.25,129.75,472,320.5,600,751,500,374.75,223.5,142.25,84.5,174.75,931.25,40000,0,1,0,0,0
694.25,240.25,472,353.5,531.25,750.25,500,374.75,182.75,119.75,81,157.5,959.5,40000,0,1,0,0,0
500.5,148.75,472,325,606.5,749.5,500,374.75,200,146.75,78.25,166,959.25,40000,0,0,0,1,0
492.25,152,472,306.25,544,748.5,500.25,374.75,215.75,108,90.5,196.75,961,40000,0,1,0,0,0
641.25,188,472,320.5,603,750.5,499.75,374.75,222,152.25,90.75,169.25,984.5,40000,0,1,0,0,0
680.25,210,472,329.5,603,750.5,500,374.75,198.5,116.25,72,159,957.75,40000,0,1,0,0,0
518.5,147.5,472,325,590.5,750.5,500,374.75,220.25,154.5,100.25,190.5,951.5,40000,0,1,0,0,0
701.5,218,472,325,490.75,748.25,500.25,374.75,198.25,113.75,81.25,171.5,948.75,40000,0,0,0,1,0
6512.2,15690.6,688.4,618.4,640.8,840,692.4,66.4,88.4,76.4,35.6,39.2,1000,23308,0,0,0,1,0
4692.2,14019.6,716.4,609.2,651.6,851,722.8,114,84.4,83.2,30.4,47.8,992,23308,0,1,0,0,0
6841.8,13536.2,676,613.2,650,822.4,705.6,91.8,83.2,96.4,34.4,51.8,1000,23308,0,0,0,1,0
8598,15560.8,698.4,621.2,666,841.2,699.2,101.8,86,80.8,29.2,51.6,997.2,23308,0,1,0,0,0
6452.4,13341.8,720,617.2,658,842.4,706.8,100.6,92.4,104.8,35.6,54,993.2,23308,0,0,0,1,0
6735.6,16254,687.2,614.4,656.8,839.6,704.4,80.2,75.2,90,34.4,33.8,997.2,23308,0,1,0,0,0
4864.2,13467.8,698.4,625.2,663.2,823,708.4,92,92.4,109.2,44.8,46.6,996,23308,0,1,0,0,0
4960.4,13938.8,630,614.4,658,802.6,693.6,89.8,79.2,93.2,33.2,40.8,998.8,23308,0,1,0,0,0
7187.4,15436.4,628,625.2,655.6,838.4,692.4,68.2,76.4,86.8,31.6,38.8,996,23308,0,1,0,0,0
5130.8,14357.8,660.4,609.2,634.4,851,717.6,93.2,92.4,110,42.4,51.2,996,23308,0,1,0,0,0
4030.4,42557,600,632.8,687.2,706.4,676,41.4,19.2,26.8,2.8,4.8,1000,22615,0,0,0,1,0
4133.4,50047,600,620.4,661.2,740.4,631.2,31,26,31.6,4,9.8,1000,22615,0,0,0,1,0
3862.2,48447.2,600,623.2,670.8,719.4,665.2,36.8,34,29.2,10.8,5.4,996,22615,0,0,0,1,0
4145.8,47783.8,600,626,669.2,640.4,616.4,18.4,36.8,32.4,12.4,20.4,998.8,22615,0,0,0,1,0
4462.8,58573.6,600,628.4,676,718.8,624.4,16.8,26,29.2,5.6,4.6,1000,22615,0,0,0,1,0
4715.2,32827.2,600,621.6,648.8,770.6,680.4,87.2,108.8,88,47.6,87.4,990.4,22615,0,0,0,1,0
4012.6,32721,600,627.2,691.2,720.2,674.8,69.8,28.4,28.8,6.8,10.2,1000,22615,0,1,0,0,0
4433.6,36480.2,600,621.6,1000,723.6,635.2,16.6,20.4,28.4,4,1.2,1000,22615,0,1,0,0,0
4205.6,85359.2,600,851.6,1000,681.4,617.6,7.6,19.2,26.4,5.6,2.8,1000,22615,0,0,0,1,0
4856.4,60032.2,600,620.4,666.8,729.6,639.6,22.8,21.6,22.4,6.8,5.6,998.8,22615,0,1,0,0,0
8896,0,523,994,446,103,294,135,201,39,35,987,8158,0,0,1,0,0,0
7400,0,761,987,389,135,448,155,190,26,10,910,8158,0,1,1,0,0,0
11987,0,677,935,348,161,500,148,265,58,29,987,8158,0,0,0,0,1,1
7680,0,581,961,481,181,500,142,260,52,10,974,8158,0,0,0,0,1,0
8110,0,252,826,434,194,500,187,261,97,23,987,8158,0,0,1,0,0,0
8608,0,232,974,529,142,310,206,249,65,16,1000,8158,0,0,1,0,0,0
6973,0,265,729,395,168,500,174,274,65,45,1000,8158,0,1,0,0,0,0
9095,0,290,1000,437,181,500,200,246,90,19,994,8158,0,0,0,0,1,0
8512,0,252,729,382,187,500,232,278,103,32,1000,8158,0,0,0,0,1,0
8384,0,555,1000,497,200,481,194,278,65,26,1000,8158,0,0,0,0,1,0
16368,125,52,163,490,76,31,120,256,33,10,1000,16727,0,0,0,0,1,0
16545,22,530,1000,470,62,42,106,245,19,3,1000,16727,0,0,0,0,1,1
